System performance, unit is images/second,
System performance measures the performance of the entire system, including both CPU work and GPU work. The benchmark is timed right before and after the script is ran.,
model,batch 16,batch 32,batch 64,
googlenet,349,624,1013,
resnet50,204,355,583,
resnet152,88,154,244,
densenet121,201,349,551,



Approximate accelerator performance, unit is images/second,
Approximate accelerator performance aims at measuring only the performance of the accelerator. The benchmark does its best to exclude CPU work from performance measurement and approximates the accelerator performance.,
model,batch 16,batch 32,batch 64,
googlenet,2007.0,2463.0,2738.0,
resnet50,1182.0,1333.0,1446.0,
resnet152,481.0,553.0,563.0,
densenet121,991.0,1195.0,1334.0,
