System performance, unit is images/second,
System performance measures the performance of the entire system, including both CPU work and GPU work. The benchmark is timed right before and after the script is ran.,
model,batch 16,batch 32,batch 64,
googlenet,280,445,610,
resnet50,158,240,324,
resnet152,66,99,131,
densenet121,152,233,312,



Approximate accelerator performance, unit is images/second,
Approximate accelerator performance aims at measuring only the performance of the accelerator. The benchmark does its best to exclude CPU work from performance measurement and approximates the accelerator performance.,
model,batch 16,batch 32,batch 64,
googlenet,1045.0,1105.0,1118.0,
resnet50,497.0,520.0,521.0,
resnet152,189.0,196.0,196.0,
densenet121,475.0,507.0,515.0,
