System performance, unit is images/second,
System performance measures the performance of the entire system, including both CPU work and GPU work. The benchmark is timed right before and after the script is ran.,
model,batch 16,batch 32,batch 64,
googlenet,333,458,556,
resnet50,188,231,266,
resnet152,89,104,116,
densenet121,168,213,245,
synNet,80,93,103,



Approximate accelerator performance, unit is images/second,
Approximate accelerator performance aims at measuring only the performance of the accelerator. The benchmark does its best to exclude CPU work from performance measurement and approximates the accelerator performance.,
model,batch 16,batch 32,batch 64,
googlenet,569.5,646.7199999999999,682.22,
resnet50,259.02000000000004,280.23999999999995,296.06000000000006,
resnet152,109.02000000000001,117.23999999999998,124.88,
densenet121,242.71999999999997,270.68,281.38,
synNet,94.94,104.9,111.17999999999999,
