System performance, unit is images/second,
System performance measures the performance of the entire system, including both CPU work and GPU work. The benchmark is timed right before and after the script is ran.,
model,batch 16,batch 32,batch 64,
googlenet,134,180,211,
resnet50,63,76,84,
resnet152,27,33,613,
densenet121,52,63,695,
synNet,24,27,901,



Approximate accelerator performance, unit is images/second,
Approximate accelerator performance aims at measuring only the performance of the accelerator. The benchmark does its best to exclude CPU work from performance measurement and approximates the accelerator performance.,
model,batch 16,batch 32,batch 64,
googlenet,191.6,223.4,240.4,
resnet50,76.6,85.7,90.7,
resnet152,33.1,37.4,1e-07,
densenet121,72.7,76.4,1e-07,
synNet,27.5,29.6,1e-07,
