System performance, unit is images/second,
System performance measures the performance of the entire system, including both CPU work and GPU work. The benchmark is timed right before and after the script is ran.,
model,batch 16,batch 32,batch 64,
googlenet,379,564,683,
resnet50,230,286,322,
resnet152,109,128,142,
densenet121,218,285,337,
synNet,88,104,116,



Approximate accelerator performance, unit is images/second,
Approximate accelerator performance aims at measuring only the performance of the accelerator. The benchmark does its best to exclude CPU work from performance measurement and approximates the accelerator performance.,
model,batch 16,batch 32,batch 64,
googlenet,831.1200000000001,915.6,962.3399999999999,
resnet50,357.68,381.3,396.22,
resnet152,143.72,152.88,157.32,
densenet121,394.92,422.38,424.53999999999996,
synNet,120.18000000000002,130.94,139.66000000000003,
