System performance, unit is images/second,
System performance measures the performance of the entire system, including both CPU work and GPU work. The benchmark is timed right before and after the script is ran.,
model,batch 16,batch 32,batch 64,
googlenet,168,210,248,
resnet50,78,94,106,
resnet152,34,40,44,
densenet121,67,85,97,
synNet,27,30,33,



Approximate accelerator performance, unit is images/second,
Approximate accelerator performance aims at measuring only the performance of the accelerator. The benchmark does its best to exclude CPU work from performance measurement and approximates the accelerator performance.,
model,batch 16,batch 32,batch 64,
googlenet,271.3,301.3,314.3,
resnet50,104.9,115.7,120.8,
resnet152,43.4,47.5,49.3,
densenet121,110.1,115.9,117.2,
synNet,34.4,36.6,38.0,
