System performance, unit is images/second,
System performance measures the performance of the entire system, including both CPU work and GPU work. The benchmark is timed right before and after the script is ran.,
model,batch 16,batch 32,batch 64,
googlenet,608,1013,1503,
resnet50,434,639,845,
resnet152,215,301,371,
densenet121,322,526,772,
synNet,227,294,346,



Approximate accelerator performance, unit is images/second,
Approximate accelerator performance aims at measuring only the performance of the accelerator. The benchmark does its best to exclude CPU work from performance measurement and approximates the accelerator performance.,
model,batch 16,batch 32,batch 64,
googlenet,1750.7,2268.56,2553.0800000000004,
resnet50,946.1200000000001,1074.56,1154.48,
resnet152,376.34000000000003,432.62,456.78000000000003,
densenet121,835.4200000000001,1058.22,1216.2599999999998,
synNet,336.36,377.74000000000007,405.6,
