System performance, unit is images/second,
System performance measures the performance of the entire system, including both CPU work and GPU work. The benchmark is timed right before and after the script is ran.,
model,batch 16,batch 32,batch 64,
googlenet,269,421,594,
resnet50,155,221,276,
resnet152,63,92,114,
densenet121,101,159,217,
synNet,69,86,97,



Approximate accelerator performance, unit is images/second,
Approximate accelerator performance aims at measuring only the performance of the accelerator. The benchmark does its best to exclude CPU work from performance measurement and approximates the accelerator performance.,
model,batch 16,batch 32,batch 64,
googlenet,543.7,702.1,834.4,
resnet50,262.6,311.3,338.6,
resnet152,104.3,126.9,138.0,
densenet121,223.5,284.3,308.4,
synNet,88.7,101.3,107.8,
